report_no,incident_time,complaint_type,cctv_flag,area_code,victim_code,offender_code,offender_name,offender_sex,offender_age,repeated_offender,no_of_offences,offender_relation,officer_code,case_status_code,case_status_desc,crime_code,crime_type,weapon_code,weapon_desc,week_number
190101086,03:30:00,Phone,FALSE,990,9871,838569,Evangeline,M,25,Yes,7,No,1028,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
191501505,17:30:00,In-Person,TRUE,893,59180,2358502,Adan,M,23,Yes,2,No,4010,IC,"Invest Cont",745,"VANDALISM - MISDEAMEANOR ($399",306,"ROCK/THROWN OBJECT",1
200100501,00:30:00,Phone,TRUE,887,33233,949516,Willa,M,31,Yes,2,No,4010,IC,"Invest Cont",121,"RAPE, FORCIBLE",511,"VERBAL THREAT",1
200100502,13:15:00,Email,TRUE,990,94634,951627,Sondra,M,40,Yes,7,No,1028,IC,"Invest Cont",442,"SHOPLIFTING - PETTY THEFT ($95",400,"STRONG-ARM (HANDS, FIST, FEET ",1
200100504,00:40:00,Email,TRUE,990,99438,1127185,Anderson,M,40,Yes,1,No,1028,IC,"Invest Cont",946,"OTHER MISCELLANEOUS CRIME",204,"FOLDING KNIFE",1
200100507,02:00:00,Email,FALSE,336,43888,297867,Boyd,M,30,Yes,2,No,2035,IC,"Invest Cont",341,"THEFT-GRAND ($950.01 & OVER)EX",208,RAZOR,1
200100509,22:00:00,Email,FALSE,371,52299,527795,Mickey,M,36,Yes,2,No,3245,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200100510,09:55:00,Phone,FALSE,336,89061,364686,Hayden,M,37,Yes,2,No,3245,IC,"Invest Cont",930,"CRIMINAL THREATS - NO WEAPON D",212,BOTTLE,1
200100514,13:55:00,In-Person,FALSE,990,36445,787093,Harmony,M,41,Yes,6,No,1028,AA,"Adult Arrest",341,"THEFT-GRAND ($950.01 & OVER)EX",208,RAZOR,1
200100515,16:38:00,Phone,TRUE,336,21042,1833848,Grover,M,32,Yes,1,No,3245,IC,"Invest Cont",648,ARSON,218,"OTHER CUTTING INSTRUMENT",1
200100520,18:05:00,Email,TRUE,990,2062,2299935,Trudy,M,41,Yes,5,No,3260,IC,"Invest Cont",442,"SHOPLIFTING - PETTY THEFT ($95",400,"STRONG-ARM (HANDS, FIST, FEET ",1
200100535,13:30:00,In-Person,FALSE,887,78244,232057,Hilary,M,30,Yes,1,No,4010,IC,"Invest Cont",210,ROBBERY,515,"PHYSICAL PRESENCE",1
200100538,17:30:00,Phone,FALSE,336,3724,794569,Staci,M,40,Yes,2,No,2035,IC,"Invest Cont",341,"THEFT-GRAND ($950.01 & OVER)EX",208,RAZOR,1
200100543,14:45:00,Phone,FALSE,322,52392,633757,Johnathon,M,41,Yes,2,No,1023,IC,"Invest Cont",442,"SHOPLIFTING - PETTY THEFT ($95",400,"STRONG-ARM (HANDS, FIST, FEET ",1
200100546,07:00:00,In-Person,FALSE,371,19139,801151,Pat,M,35,Yes,1,No,3245,AO,"Adult Other",230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,1
200100552,20:00:00,Phone,TRUE,887,91038,318773,Jenifer,M,34,Yes,2,No,4010,AA,"Adult Arrest",230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,1
200100556,04:00:00,Email,FALSE,425,120777,734065,Dewayne,M,30,Yes,2,No,3251,IC,"Invest Cont",121,"RAPE, FORCIBLE",511,"VERBAL THREAT",1
200100559,06:00:00,Phone,TRUE,990,8983,1091845,Camryn,M,35,Yes,1,No,3260,AO,"Adult Other",910,KIDNAPPING,308,STICK,1
200100568,15:00:00,In-Person,FALSE,336,105565,2038483,Kailey,M,37,Yes,2,No,2035,IC,"Invest Cont",930,"CRIMINAL THREATS - NO WEAPON D",212,BOTTLE,1
200100572,21:00:00,In-Person,FALSE,336,64443,1480238,Brenden,M,35,Yes,2,No,3245,IC,"Invest Cont",740,"VANDALISM - FELONY ($400 & OVE",200,"KNIFE WITH BLADE 6INCHES OR LE",1
200100574,19:30:00,Email,FALSE,990,11360,146118,Luz,M,31,Yes,2,No,3260,IC,"Invest Cont",442,"SHOPLIFTING - PETTY THEFT ($95",400,"STRONG-ARM (HANDS, FIST, FEET ",1
200100576,00:55:00,Phone,FALSE,371,92985,2361245,Eve,M,41,Yes,2,No,2035,AA,"Adult Arrest",910,KIDNAPPING,308,STICK,1
200100578,20:40:00,Email,FALSE,336,10077,1042149,Freddy,M,36,Yes,7,No,2035,AA,"Adult Arrest",230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,1
200100583,09:20:00,Email,FALSE,371,122230,549790,King,M,34,Yes,6,No,2035,AA,"Adult Arrest",230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,1
200100584,16:45:00,Email,FALSE,1001,99506,1959059,Jerald,M,32,Yes,5,No,3256,IC,"Invest Cont",442,"SHOPLIFTING - PETTY THEFT ($95",400,"STRONG-ARM (HANDS, FIST, FEET ",1
200100587,11:35:00,Email,FALSE,371,39467,2337976,Ximena,M,41,Yes,1,No,1027,IC,"Invest Cont",740,"VANDALISM - FELONY ($400 & OVE",200,"KNIFE WITH BLADE 6INCHES OR LE",1
200100596,16:00:00,Phone,FALSE,336,25253,1064595,Maverick,M,31,Yes,3,No,3245,IC,"Invest Cont",442,"SHOPLIFTING - PETTY THEFT ($95",400,"STRONG-ARM (HANDS, FIST, FEET ",1
200100708,15:30:00,Phone,FALSE,990,71122,1086406,Amya,F,40,Yes,6,No,3260,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",4
200100799,01:53:00,Phone,FALSE,336,40645,905109,Judson,M,35,Yes,7,No,3245,IC,"Invest Cont",310,BURGLARY,113,"SIMULATED GUN",4
200104020,02:45:00,In-Person,FALSE,336,110057,943136,Greta,M,41,Yes,3,No,3245,IC,"Invest Cont",350,"THEFT, PERSON",221,GLASS,1
200104024,03:25:00,Phone,FALSE,887,118774,587956,Glenna,M,40,Yes,1,No,4010,IC,"Invest Cont",740,"VANDALISM - FELONY ($400 & OVE",200,"KNIFE WITH BLADE 6INCHES OR LE",1
200104027,00:30:00,Email,FALSE,990,39203,1164413,Heaven,M,39,Yes,4,No,3260,IC,"Invest Cont",930,"CRIMINAL THREATS - NO WEAPON D",212,BOTTLE,1
200104033,02:30:00,Phone,FALSE,323,98693,104303,Eldon,M,30,Yes,2,No,1023,IC,"Invest Cont",626,"INTIMATE PARTNER - SIMPLE ASSA",109,"SEMI-AUTOMATIC PISTOL",1
200104035,02:30:00,In-Person,FALSE,893,60169,965944,Kiana,M,34,Yes,3,No,4010,IC,"Invest Cont",310,BURGLARY,113,"SIMULATED GUN",1
200104036,05:00:00,Email,FALSE,893,57832,1993796,Blanca,M,41,Yes,2,No,4010,IC,"Invest Cont",860,"BATTERY WITH SEXUAL CONTACT",201,"KNIFE WITH BLADE OVER 6 INCHES",1
200104038,12:00:00,Phone,FALSE,990,11665,1898115,Walker,M,37,Yes,7,No,1028,IC,"Invest Cont",230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,1
200104039,03:44:00,Email,FALSE,887,72731,876357,Jonas,M,39,Yes,3,No,4010,IC,"Invest Cont",745,"VANDALISM - MISDEAMEANOR ($399",306,"ROCK/THROWN OBJECT",1
200104041,10:30:00,Email,FALSE,425,66229,321126,Nannie,M,39,Yes,3,No,2036,IC,"Invest Cont",480,"BIKE - STOLEN",504,"DEMAND NOTE",1
200104043,12:00:00,Email,FALSE,990,8355,1050331,Jess,M,33,Yes,3,No,1028,IC,"Invest Cont",745,"VANDALISM - MISDEAMEANOR ($399",306,"ROCK/THROWN OBJECT",1
200104047,09:05:00,Phone,FALSE,336,41878,2326400,Marley,M,30,Yes,3,No,2035,IC,"Invest Cont",623,"BATTERY POLICE (SIMPLE)",215,MACHETE,1
200104048,09:05:00,Phone,FALSE,990,101910,2169193,Quincy,M,36,Yes,3,No,3260,IC,"Invest Cont",623,"BATTERY POLICE (SIMPLE)",215,MACHETE,1
200104051,02:00:00,Email,FALSE,893,60900,263333,Clarice,M,37,Yes,3,No,4010,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",1
200104054,23:30:00,Email,FALSE,336,53198,50908,Guadalupe,M,41,Yes,3,No,3245,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104057,20:45:00,Phone,FALSE,371,28661,1603337,Chasity,M,30,Yes,7,No,2035,IC,"Invest Cont",230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,1
200104058,19:40:00,In-Person,FALSE,336,123254,2388619,Leanna,M,35,Yes,5,No,3245,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104060,18:00:00,Email,FALSE,371,22448,1132284,Frieda,M,37,Yes,3,No,3245,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104063,20:30:00,In-Person,FALSE,887,104869,4138,Emerson,M,35,Yes,3,No,4010,IC,"Invest Cont",341,"THEFT-GRAND ($950.01 & OVER)EX",208,RAZOR,1
200104065,18:30:00,In-Person,FALSE,990,44833,638454,Isla,M,35,Yes,3,No,1028,IC,"Invest Cont",745,"VANDALISM - MISDEAMEANOR ($399",306,"ROCK/THROWN OBJECT",1
200104066,23:15:00,Phone,FALSE,371,88818,2242269,Rogelio,M,41,Yes,3,No,3245,IC,"Invest Cont",745,"VANDALISM - MISDEAMEANOR ($399",306,"ROCK/THROWN OBJECT",1
200104069,05:45:00,Email,FALSE,425,109135,2240257,Ryleigh,M,40,Yes,7,No,1033,IC,"Invest Cont",310,BURGLARY,113,"SIMULATED GUN",1
200104073,03:45:00,In-Person,FALSE,990,16377,1418237,Ramiro,M,32,Yes,3,No,1024,IC,"Invest Cont",510,"VEHICLE - STOLEN",207,"OTHER KNIFE",1
200104075,20:00:00,Email,FALSE,322,6474,1563525,Darwin,M,34,Yes,1,No,1023,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",1
200104076,03:00:00,In-Person,FALSE,371,14306,232115,Murray,M,36,Yes,5,No,2035,IC,"Invest Cont",341,"THEFT-GRAND ($950.01 & OVER)EX",208,RAZOR,1
200104077,20:30:00,Phone,FALSE,893,84686,1972269,Aniyah,M,36,Yes,5,No,4010,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200104078,08:20:00,Email,FALSE,371,32405,721490,Cary,M,32,Yes,1,No,3245,IC,"Invest Cont",210,ROBBERY,515,"PHYSICAL PRESENCE",1
200104082,12:25:00,Email,FALSE,371,65657,2337097,Brynn,M,31,Yes,1,No,2035,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104090,13:05:00,Phone,FALSE,336,44798,1012919,Leann,M,40,Yes,7,No,2035,IC,"Invest Cont",910,KIDNAPPING,308,STICK,1
200104092,12:00:00,Phone,FALSE,893,47506,2219470,Maribel,M,30,Yes,3,No,5245,IC,"Invest Cont",310,BURGLARY,113,"SIMULATED GUN",1
200104098,12:40:00,Phone,FALSE,322,122012,837673,Edmond,M,35,Yes,3,No,1023,AO,"Adult Other",210,ROBBERY,515,"PHYSICAL PRESENCE",1
200104101,08:00:00,In-Person,FALSE,425,99286,1679292,Kenya,M,39,Yes,5,No,2036,IC,"Invest Cont",626,"INTIMATE PARTNER - SIMPLE ASSA",109,"SEMI-AUTOMATIC PISTOL",1
200104118,16:00:00,In-Person,FALSE,322,59000,138442,Bobbi,M,37,Yes,4,No,4011,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104120,14:50:00,Email,FALSE,990,82910,1105892,Larissa,M,34,Yes,3,No,1028,IC,"Invest Cont",310,BURGLARY,113,"SIMULATED GUN",1
200104126,12:15:00,In-Person,FALSE,371,21823,805405,Jean,M,40,Yes,5,No,3245,IC,"Invest Cont",442,"SHOPLIFTING - PETTY THEFT ($95",400,"STRONG-ARM (HANDS, FIST, FEET ",1
200104127,11:30:00,In-Person,FALSE,322,68917,813814,Margo,M,37,Yes,3,No,1023,IC,"Invest Cont",888,TRESPASSING,501,"BOMB THREAT",1
200104129,03:20:00,Email,FALSE,990,72071,92783,Lizbeth,M,36,Yes,3,No,3260,IC,"Invest Cont",230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,1
200104132,19:15:00,In-Person,FALSE,1001,24108,1680438,Tiara,M,36,Yes,3,No,5555,IC,"Invest Cont",910,KIDNAPPING,308,STICK,1
200104135,20:00:00,Email,FALSE,990,13098,646605,Gael,M,36,Yes,3,No,3260,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",1
200104136,20:00:00,Email,FALSE,425,62213,828908,Marquis,M,39,Yes,3,No,2036,AA,"Adult Arrest",230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,1
